row_idx,token_count,token_range
0,6913,4097-8192
1,822,≤1024
2,7497,4097-8192
3,3205,2049-4096
4,3131,2049-4096
5,1700,1025-2048
6,3709,2049-4096
7,1611,1025-2048
8,226,≤1024
9,149,≤1024
10,1643,1025-2048
11,1080,1025-2048
12,2423,2049-4096
13,810,≤1024
14,1940,1025-2048
15,4370,4097-8192
16,250,≤1024
17,1251,1025-2048
18,1868,1025-2048
19,1630,1025-2048
20,6030,4097-8192
21,1206,1025-2048
22,604,≤1024
23,699,≤1024
24,1288,1025-2048
25,200,≤1024
26,486,≤1024
27,1211,1025-2048
28,1330,1025-2048
29,159,≤1024
30,462,≤1024
31,214,≤1024
32,1568,1025-2048
33,339,≤1024
34,1406,1025-2048
35,7371,4097-8192
36,4216,4097-8192
37,1342,1025-2048
38,1701,1025-2048
39,2363,2049-4096
40,530,≤1024
41,1361,1025-2048
42,144,≤1024
43,2175,2049-4096
44,8368,8193-16384
45,5934,4097-8192
46,591,≤1024
47,1170,1025-2048
48,427,≤1024
49,1721,1025-2048
50,7427,4097-8192
51,229,≤1024
52,3129,2049-4096
53,1870,1025-2048
54,3759,2049-4096
55,819,≤1024
56,895,≤1024
57,2585,2049-4096
58,492,≤1024
59,5154,4097-8192
60,859,≤1024
61,502,≤1024
62,2569,2049-4096
63,1771,1025-2048
64,5788,4097-8192
65,2277,2049-4096
66,7863,4097-8192
67,3499,2049-4096
68,1824,1025-2048
69,396,≤1024
70,3303,2049-4096
71,1588,1025-2048
72,522,≤1024
73,438,≤1024
74,598,≤1024
75,1365,1025-2048
76,732,≤1024
77,7324,4097-8192
78,566,≤1024
79,128,≤1024
80,283,≤1024
81,391,≤1024
82,617,≤1024
83,422,≤1024
84,1378,1025-2048
85,2405,2049-4096
86,388,≤1024
87,2158,2049-4096
88,1223,1025-2048
89,510,≤1024
90,2446,2049-4096
91,452,≤1024
92,6977,4097-8192
93,276,≤1024
94,658,≤1024
95,672,≤1024
96,7235,4097-8192
97,113,≤1024
98,965,≤1024
99,703,≤1024
100,1436,1025-2048
101,1002,≤1024
102,409,≤1024
103,1780,1025-2048
104,144,≤1024
105,227,≤1024
106,131,≤1024
107,1727,1025-2048
108,567,≤1024
109,351,≤1024
110,1608,1025-2048
111,109,≤1024
112,2759,2049-4096
113,3987,2049-4096
114,339,≤1024
115,1244,1025-2048
116,311,≤1024
117,5542,4097-8192
118,592,≤1024
119,2826,2049-4096
120,1168,1025-2048
121,1809,1025-2048
122,471,≤1024
123,1787,1025-2048
124,1815,1025-2048
125,980,≤1024
126,655,≤1024
127,6725,4097-8192
128,864,≤1024
129,333,≤1024
130,2555,2049-4096
131,4176,4097-8192
132,196,≤1024
133,785,≤1024
134,3295,2049-4096
135,249,≤1024
136,3777,2049-4096
137,720,≤1024
138,4090,2049-4096
139,980,≤1024
140,215,≤1024
141,435,≤1024
142,10387,8193-16384
143,324,≤1024
144,2128,2049-4096
145,936,≤1024
146,415,≤1024
147,955,≤1024
148,6839,4097-8192
149,780,≤1024
150,1656,1025-2048
151,2188,2049-4096
152,1915,1025-2048
153,924,≤1024
154,1776,1025-2048
155,546,≤1024
156,1992,1025-2048
157,702,≤1024
158,129,≤1024
159,126,≤1024
160,1926,1025-2048
161,475,≤1024
162,613,≤1024
163,1900,1025-2048
164,528,≤1024
165,407,≤1024
166,385,≤1024
167,245,≤1024
168,1673,1025-2048
169,117,≤1024
170,2412,2049-4096
171,1663,1025-2048
172,292,≤1024
173,260,≤1024
174,992,≤1024
175,244,≤1024
176,1731,1025-2048
177,1357,1025-2048
178,3495,2049-4096
179,614,≤1024
180,688,≤1024
181,3433,2049-4096
182,924,≤1024
183,1388,1025-2048
184,545,≤1024
185,614,≤1024
186,1145,1025-2048
187,3764,2049-4096
188,595,≤1024
189,742,≤1024
190,882,≤1024
191,1974,1025-2048
192,505,≤1024
193,1007,≤1024
194,196,≤1024
195,825,≤1024
196,1269,1025-2048
197,567,≤1024
198,4120,4097-8192
199,1095,1025-2048
200,4916,4097-8192
201,3983,2049-4096
202,196,≤1024
203,4664,4097-8192
204,4005,2049-4096
205,204,≤1024
206,7050,4097-8192
207,471,≤1024
208,1996,1025-2048
209,3065,2049-4096
